"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:37:55.397","webapi.magicpin.in/oms_partner/ondc","Habibi Falafel"
"Jul 10, 2025 @ 12:37:54.837","webapi.magicpin.in/oms_partner/ondc","Shawarma City Xpress"
"Jul 10, 2025 @ 12:37:54.836","webapi.magicpin.in/oms_partner/ondc","Pizza Burger & More"
"Jul 10, 2025 @ 12:37:54.831","webapi.magicpin.in/oms_partner/ondc","Best Bites"
"Jul 10, 2025 @ 12:37:54.825","webapi.magicpin.in/oms_partner/ondc","Happiness Station"
"Jul 10, 2025 @ 12:37:54.818","webapi.magicpin.in/oms_partner/ondc","Anytime Snacks 24*7"
"Jul 10, 2025 @ 12:37:53.833","webapi.magicpin.in/oms_partner/ondc","Ruchis Point"
"Jul 10, 2025 @ 12:37:53.441","webapi.magicpin.in/oms_partner/ondc","Hot And Spicy"
"Jul 10, 2025 @ 12:37:53.362","webapi.magicpin.in/oms_partner/ondc","Waffle Square Express"
"Jul 10, 2025 @ 12:37:53.353","webapi.magicpin.in/oms_partner/ondc",Arsalan
"Jul 10, 2025 @ 12:37:53.347","webapi.magicpin.in/oms_partner/ondc","Krazy for Chocolates"
"Jul 10, 2025 @ 12:37:52.267","webapi.magicpin.in/oms_partner/ondc","Goli Vada Pav No. 1"
"Jul 10, 2025 @ 12:37:52.266","webapi.magicpin.in/oms_partner/ondc","Cool Corner Cafe"
"Jul 10, 2025 @ 12:37:52.261","webapi.magicpin.in/oms_partner/ondc","Shanghai Chillie's"
"Jul 10, 2025 @ 12:37:52.260","webapi.magicpin.in/oms_partner/ondc","Bahu-Belly"
"Jul 10, 2025 @ 12:37:52.254","webapi.magicpin.in/oms_partner/ondc","Rozi Roti"
"Jul 10, 2025 @ 12:37:50.443","webapi.magicpin.in/oms_partner/ondc",Burgermeister
"Jul 10, 2025 @ 12:37:50.440","webapi.magicpin.in/oms_partner/ondc",Tonique
"Jul 10, 2025 @ 12:37:50.413","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:49.679","webapi.magicpin.in/oms_partner/ondc","Voosh Burgers & Sandwiches"
"Jul 10, 2025 @ 12:37:49.454","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:48.173","webapi.magicpin.in/oms_partner/ondc","Tiwari's"
"Jul 10, 2025 @ 12:37:47.477","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:46.249","webapi.magicpin.in/oms_partner/ondc","Gokul Veg"
"Jul 10, 2025 @ 12:37:46.200","webapi.magicpin.in/oms_partner/ondc","Maharaja Chaap - Pure Veg Restaurant"
"Jul 10, 2025 @ 12:37:46.142","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:45.187","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:44.739","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:44.583","webapi.magicpin.in/oms_partner/ondc","Banwari Lal Halwai"
"Jul 10, 2025 @ 12:37:43.258","webapi.magicpin.in/oms_partner/ondc","Grameen Kulfi"
"Jul 10, 2025 @ 12:37:43.253","webapi.magicpin.in/oms_partner/ondc","Grameen Kulfi"
"Jul 10, 2025 @ 12:37:42.925","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:41.104","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:40.343","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:40.291","webapi.magicpin.in/oms_partner/ondc","The J's Pizza"
"Jul 10, 2025 @ 12:37:38.732","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:38.193","webapi.magicpin.in/oms_partner/ondc","Combos Jumbos Momos"
"Jul 10, 2025 @ 12:37:38.193","webapi.magicpin.in/oms_partner/ondc","Aramane Donne Biriyani"
"Jul 10, 2025 @ 12:37:38.193","webapi.magicpin.in/oms_partner/ondc","Soup Station"
"Jul 10, 2025 @ 12:37:36.796","webapi.magicpin.in/oms_partner/ondc","California Coffee Cafe"
"Jul 10, 2025 @ 12:37:36.432","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:33.969","webapi.magicpin.in/oms_partner/ondc","Grameen Kulfi"
"Jul 10, 2025 @ 12:37:33.130","webapi.magicpin.in/oms_partner/ondc","Grameen Kulfi"
"Jul 10, 2025 @ 12:37:33.128","webapi.magicpin.in/oms_partner/ondc","Grameen Kulfi"
"Jul 10, 2025 @ 12:37:32.589","webapi.magicpin.in/oms_partner/ondc","Udupi Cafe"
"Jul 10, 2025 @ 12:37:32.576","webapi.magicpin.in/oms_partner/ondc","Paratha Lounge"
"Jul 10, 2025 @ 12:37:31.346","webapi.magicpin.in/oms_partner/ondc","Mad Pav Bhaji"
"Jul 10, 2025 @ 12:37:31.345","webapi.magicpin.in/oms_partner/ondc","The Roll Project"
"Jul 10, 2025 @ 12:37:31.341","webapi.magicpin.in/oms_partner/ondc","Kake Di Pavbhaji"
"Jul 10, 2025 @ 12:37:31.338","webapi.magicpin.in/oms_partner/ondc","The Burger Project"
"Jul 10, 2025 @ 12:37:30.623","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:29.707","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:29.590","webapi.magicpin.in/oms_partner/ondc","Baskin Robbins"
"Jul 10, 2025 @ 12:37:29.582","webapi.magicpin.in/oms_partner/ondc","Baskin Robbins"
"Jul 10, 2025 @ 12:37:27.759","webapi.magicpin.in/oms_partner/ondc",Cafesta
"Jul 10, 2025 @ 12:37:27.753","webapi.magicpin.in/oms_partner/ondc","Kung Food"
"Jul 10, 2025 @ 12:37:27.481","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:27.285","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:26.669","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:26.524","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:37:24.315","webapi.magicpin.in/oms_partner/ondc","Rozi Roti"
"Jul 10, 2025 @ 12:37:24.291","webapi.magicpin.in/oms_partner/ondc","Excellent Dumpling House"
"Jul 10, 2025 @ 12:37:23.664","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:23.415","webapi.magicpin.in/oms_partner/ondc","Cochin Cafe"
"Jul 10, 2025 @ 12:37:23.409","webapi.magicpin.in/oms_partner/ondc","Fit Pizza"
"Jul 10, 2025 @ 12:37:22.688","webapi.magicpin.in/oms_partner/ondc","Enne Nimdu Oota Namdu"
"Jul 10, 2025 @ 12:37:22.571","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:21.376","webapi.magicpin.in/oms_partner/ondc","Mata Pita Da Dhaba"
"Jul 10, 2025 @ 12:37:20.871","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:18.822","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:18.046","webapi.magicpin.in/oms_partner/ondc","Western Treat"
"Jul 10, 2025 @ 12:37:17.764","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:37:17.130","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:16.850","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:15.053","webapi.magicpin.in/oms_partner/ondc","Hola Pasta - Fresh Gourmet Pasta"
"Jul 10, 2025 @ 12:37:14.956","webapi.magicpin.in/oms_partner/ondc","Just Bake"
"Jul 10, 2025 @ 12:37:14.945","webapi.magicpin.in/oms_partner/ondc","The Yellow Pumpkin"
"Jul 10, 2025 @ 12:37:14.431","webapi.magicpin.in/oms_partner/ondc","Shahi Chicken Corner"
"Jul 10, 2025 @ 12:37:13.507","webapi.magicpin.in/oms_partner/ondc","Sips & Flavours"
"Jul 10, 2025 @ 12:37:13.499","webapi.magicpin.in/oms_partner/ondc","Cuppa Redefined"
"Jul 10, 2025 @ 12:37:13.427","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:10.633","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:10.362","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:09.322","webapi.magicpin.in/oms_partner/ondc","Amol Chinese Cuisine"
"Jul 10, 2025 @ 12:37:09.045","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:08.241","biz.enstore.com","-"
"Jul 10, 2025 @ 12:37:04.705","webapi.magicpin.in/oms_partner/ondc","Aramane Donne Biriyani"
